"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","729","Scenario_4 - Locked out user receives error message","web-chrome","Sat Mar 28 01:17:17 UTC 2026","passed","Sat Mar 28 01:17:18 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","3067","Example #3","api","Sat Mar 28 01:17:05 UTC 2026","passed","Sat Mar 28 01:17:08 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","160","Scenario_2 - Create a new product","api","Sat Mar 28 01:17:04 UTC 2026","passed","Sat Mar 28 01:17:04 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1014","Example #2","web-chrome","Sat Mar 28 01:17:16 UTC 2026","passed","Sat Mar 28 01:17:17 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","1349","Example #1","web-chrome","Sat Mar 28 01:17:11 UTC 2026","passed","Sat Mar 28 01:17:12 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","11416","Example #2","web-chrome","Sat Mar 28 01:17:13 UTC 2026","passed","Sat Mar 28 01:17:24 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","5063","Example #2","api","Sat Mar 28 01:17:04 UTC 2026","passed","Sat Mar 28 01:17:10 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1097","Example #1","web-chrome","Sat Mar 28 01:17:15 UTC 2026","passed","Sat Mar 28 01:17:16 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","1473","Scenario_1 - Full checkout flow after removing an item from the cart","web-chrome","Sat Mar 28 01:17:18 UTC 2026","passed","Sat Mar 28 01:17:19 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","127","Scenario_3 - Retrieve and partially update a product","api","Sat Mar 28 01:17:04 UTC 2026","passed","Sat Mar 28 01:17:04 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","47","Example #1","api","Sat Mar 28 01:17:10 UTC 2026","passed","Sat Mar 28 01:17:10 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","197","Scenario_1 - Retrieve all products with filtered fields","api","Sat Mar 28 01:17:04 UTC 2026","passed","Sat Mar 28 01:17:04 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","57","Example #3","api","Sat Mar 28 01:17:05 UTC 2026","passed","Sat Mar 28 01:17:05 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","5067","Example #4","api","Sat Mar 28 01:17:08 UTC 2026","passed","Sat Mar 28 01:17:13 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","55","Example #2","api","Sat Mar 28 01:17:10 UTC 2026","passed","Sat Mar 28 01:17:10 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","111","Example #1","api","Sat Mar 28 01:17:04 UTC 2026","passed","Sat Mar 28 01:17:04 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","52","Example #3","api","Sat Mar 28 01:17:10 UTC 2026","passed","Sat Mar 28 01:17:10 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","67","Example #1","api","Sat Mar 28 01:17:05 UTC 2026","passed","Sat Mar 28 01:17:05 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","268","Example #2","api","Sat Mar 28 01:17:05 UTC 2026","passed","Sat Mar 28 01:17:05 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
